bgA;bgB;bgC;bgD;bgE;V1;V2;V3;V4;V5
3;2;1;1;1;25;35;3;96;100
2;1;1;1;1;12;16;21;54;86
1;1;4;1;1;10;51;13;35;45
3;2;4;1;1;24;40;13;26;84
1;1;1;1;2;12;35;43;45;107
3;4;4;1;1;7;35;8;53;79
4;1;4;1;1;4;42;31;29;86
1;1;4;1;2;4;37;20;77;76
2;2;4;1;2;25;58;16;53;112
4;4;4;1;2;35;22;34;59;75
1;4;4;1;2;34;26;4;86;76
2;3;1;1;1;13;17;30;61;55
4;4;3;3;3;19;14;28;49;57
1;1;4;4;2;10;42;33;53;40
3;3;4;3;2;22;30;27;86;72
3;3;4;2;1;17;22;59;50;55
3;2;4;4;1;15;60;27;35;90
4;3;4;4;1;2;49;3;37;53
4;4;4;4;3;34;37;25;62;77
3;4;3;4;2;21;20;17;52;58
4;3;4;2;2;11;38;14;74;40
1;4;4;2;2;35;33;20;66;72
4;4;4;4;3;30;39;9;58;66
4;3;4;4;3;8;6;23;73;74
1;3;4;3;2;15;9;3;40;96
4;2;1;1;2;16;11;28;67;85
4;2;4;1;2;10;19;41;41;68
4;4;4;4;3;4;53;15;75;121
4;3;4;4;2;21;34;20;42;92
3;3;4;4;3;14;38;13;76;80
4;3;4;3;2;42;1;26;65;62
4;4;4;4;3;26;29;0;48;95
4;4;4;4;3;37;21;21;40;61
4;4;4;1;2;37;22;6;66;62
4;3;4;1;2;28;34;16;88;49
2;4;4;4;3;13;50;28;63;75
4;3;4;4;3;4;28;2;65;66
3;3;4;2;3;1;46;2;73;94
2;2;4;4;2;2;30;17;47;90
4;1;1;1;3;11;54;27;38;61
4;2;1;4;2;22;23;16;51;80
4;4;4;4;2;46;22;1;79;42
1;3;4;4;2;12;40;27;62;69
4;3;4;4;2;21;2;37;51;78
1;1;4;1;1;10;14;36;41;69
4;4;4;4;3;5;35;6;76;58
4;2;4;4;3;1;9;1;61;25
3;2;4;1;2;11;37;37;62;81
4;4;4;4;3;25;12;2;71;78
4;4;4;4;3;6;43;10;50;25
4;4;4;4;2;15;17;20;50;90
4;4;4;4;3;22;43;42;78;58
4;4;4;4;3;13;24;4;33;59
1;1;4;4;1;53;42;49;59;82
1;1;4;4;1;2;29;3;59;38
1;1;4;4;1;14;18;3;49;66
1;1;4;4;1;24;39;23;52;38
3;1;4;4;1;37;57;33;44;48
1;1;4;4;1;25;14;9;68;67
1;1;4;4;1;2;19;15;59;86
1;1;4;4;2;27;51;12;34;61
1;1;4;4;1;13;52;2;85;64
1;1;4;4;1;1;6;38;56;57
1;1;4;4;1;28;44;13;61;70
1;1;4;4;1;14;10;24;49;66
1;1;4;4;2;36;27;26;53;21
1;1;4;4;1;26;30;14;44;65
1;1;4;4;1;5;36;41;72;83
1;1;4;4;2;14;34;7;69;71
2;2;4;4;2;25;35;21;90;76
1;1;4;4;1;39;22;30;89;21
1;1;4;4;2;11;27;8;39;99
1;1;4;4;2;4;29;16;65;85
1;1;4;4;1;25;32;26;54;46
1;2;4;4;1;23;2;5;64;73
1;2;4;4;2;31;22;4;66;60
1;1;4;4;1;34;30;43;59;81
1;1;4;4;1;9;61;31;54;49
3;1;4;4;2;15;39;28;65;44
1;1;4;4;2;25;19;21;46;113
1;1;4;4;2;22;60;5;75;59
1;2;4;4;2;15;29;42;26;10
3;3;4;4;2;5;50;12;54;65
3;1;4;4;3;22;21;14;65;88
4;4;4;4;3;30;33;12;62;68
1;2;4;4;3;37;45;14;86;95
4;4;4;4;3;13;53;24;54;80
3;3;4;4;2;3;26;13;37;61
1;1;4;4;2;33;24;20;54;116
1;1;4;4;2;12;37;51;41;54
4;3;4;4;2;45;18;15;50;53
4;3;4;4;2;0;22;34;72;59
1;3;1;4;1;14;36;5;41;75
4;2;4;4;2;42;31;25;47;100
4;2;4;4;2;46;34;1;81;106
2;2;4;4;2;19;31;37;42;70
1;2;4;4;2;29;20;39;46;54
4;4;4;4;3;3;26;33;47;57
2;2;4;4;1;19;22;33;65;32
4;3;4;4;3;28;25;23;54;62
1;2;4;4;2;9;0;8;52;88
3;2;1;4;1;18;32;40;77;92
1;1;4;1;2;18;34;26;78;82
4;4;4;4;3;14;30;31;81;87
1;2;4;4;3;46;22;22;56;70
4;4;4;4;2;9;27;10;84;72
2;1;4;4;2;36;21;10;35;65
4;4;4;4;3;11;12;5;50;81
1;2;4;4;2;26;45;15;52;46
4;4;4;4;3;11;50;23;72;45
3;4;4;4;2;36;31;43;57;62
2;4;4;4;3;32;5;26;55;96
1;1;4;4;2;34;50;32;67;113
4;2;4;4;3;2;41;14;42;88
4;3;4;4;2;38;44;29;89;58
1;3;1;1;2;13;48;32;74;77
4;2;4;4;2;9;15;10;75;70
1;4;4;4;2;32;15;39;58;54
4;2;4;4;2;26;35;9;74;61
1;2;4;4;3;18;47;8;44;62
4;3;4;4;2;26;0;1;76;74
1;2;4;4;1;28;31;14;54;84
2;4;4;4;3;37;31;6;68;71
1;2;4;4;2;17;17;22;51;62
1;1;4;4;1;28;35;6;29;77
4;4;4;4;2;21;34;20;52;92
3;3;4;4;2;4;33;37;75;75
4;4;4;4;2;2;72;37;83;116
1;1;4;4;2;30;35;19;64;99
4;3;4;4;2;14;36;5;12;65
4;4;4;4;3;2;23;7;53;64
1;4;4;4;3;10;34;29;57;87
2;2;4;4;3;20;14;22;50;24
4;4;4;4;3;18;35;41;92;85
4;4;4;4;3;3;59;23;55;52
3;4;4;4;3;34;37;54;54;97
3;3;4;4;2;32;27;31;74;66
3;2;4;4;2;31;40;25;69;80
4;3;4;4;2;18;37;25;72;74
1;1;1;1;1;6;25;30;60;68
4;2;4;4;3;4;4;44;48;84
4;2;4;4;2;20;55;0;67;107
1;4;4;4;3;20;21;1;79;57
4;3;4;4;2;43;40;4;57;77
1;4;4;4;3;24;19;20;63;97
4;4;4;4;2;10;37;5;16;56
1;1;4;4;1;20;11;11;50;92
4;4;4;4;3;33;62;19;50;78
